Group,x,y,t,s,Reply,Gender
S,-25.438403859939,-214.18041414124,1,1,Agree,Male
S,-50.042768942212,38.282388532666,1,1,Agree,Male
S,-28.014566143516,-21.991041976023,1,0,Agree,Female
S,-29.260811299673,-8.506214966302,0,0,Disagree,Female
S,-10.920308104679,-324.36134300212,0,0,Disagree,Female
P,13.435276835428,115.06072440653,0,1,Disagree,Male
Q,-11.164686859196,-332.78694747099,0,0,Disagree,Female
P,-2.7131966062417,182.18959721606,0,0,Disagree,Female
R,-9.1009404892572,452.36258448118,0,1,Disagree,Male
Q,4.155483277587,-375.64770842653,0,0,Disagree,Female
Q,2.5640666967091,-200.4998263109,0,0,Disagree,Female
R,45.449444196396,-122.61282002302,0,0,Disagree,Female
R,-1.7465715272103,154.82770308518,0,1,Disagree,Male
R,-34.635908155533,133.93258962405,0,1,Disagree,Male
P,22.201721918397,70.507188381398,0,0,Disagree,Female
R,-9.1449521864508,419.75909197133,0,0,Disagree,Female
P,-3.9266831618392,272.96674870326,0,0,Disagree,Female
Q,-10.945889891566,-197.34365992543,0,1,Disagree,Male
Q,-24.90516610998,-38.565236431344,0,0,Disagree,Female
Q,7.3221048257882,-200.69336780798,0,0,Disagree,Female
S,-22.819922054103,53.290596702737,0,0,Disagree,Female
P,17.031291055508,123.47732525248,0,0,Disagree,Female
S,-35.33643875473,135.12254231941,1,0,Agree,Female
Q,-4.7216118679948,-295.60082877269,0,1,Disagree,Male
S,-0.061637396487244,5.2451944869222,0,0,Disagree,Female
P,8.9471566071488,-8.7143870413836,0,0,Disagree,Female
P,-17.327105897165,299.75471304951,0,1,Disagree,Male
R,49.998334258328,23.986034757451,0,0,Disagree,Female
Q,-9.036081118526,-95.441362180021,0,1,Disagree,Male
R,4.4391695696112,482.18613062528,0,0,Disagree,Female
R,45.931419163445,-184.45883214774,0,0,Disagree,Female
R,29.92101619808,-1.2481343854442,0,0,Disagree,Female
Q,2.9050114629348,60.520905713328,0,1,Disagree,Male
Q,-5.7447788737457,-367.0298157707,0,1,Disagree,Male
P,9.0238361791819,19.121013178546,0,0,Disagree,Female
S,-45.095203982245,70.988521224348,1,0,Agree,Female
P,5.7836693496367,385.55467296418,0,0,Disagree,Female
R,28.844942495155,79.133624749786,0,1,Disagree,Male
P,0.21034263317023,183.16672732037,0,1,Disagree,Male
R,-19.678940574023,90.956861841938,0,1,Disagree,Male
Q,0.73159181640092,-322.6800911602,0,1,Disagree,Male
S,-11.769840995208,-157.1694766838,0,0,Disagree,Female
S,-5.5123464542033,-24.844959358147,0,0,Disagree,Female
Q,-9.2361009969544,-244.05179043443,0,0,Disagree,Female
Q,-2.6565104278999,-155.95628597539,0,0,Disagree,Female
R,-33.017523095951,616.77727076913,0,1,Disagree,Male
P,-5.3844846004548,361.13016539073,0,1,Disagree,Male
P,-2.8087706462521,343.15249496054,0,0,Disagree,Female
Q,5.56519785736,11.61022835067,0,1,Disagree,Male
P,14.986844431603,76.147584454691,0,1,Disagree,Male
Q,-19.240608854797,-212.18199231251,0,1,Disagree,Male
P,19.161590708495,-88.777368987807,0,1,Disagree,Male
R,42.552018360958,13.007721445061,0,0,Disagree,Female
P,-20.023963212512,562.22771067509,0,0,Disagree,Female
Q,-19.166922666676,-168.38012132672,0,0,Disagree,Female
S,13.768702534851,-266.96511332456,1,0,Agree,Female
P,5.8205340527094,-180.5893185947,0,0,Disagree,Female
R,7.3688424445544,26.397176307811,0,0,Disagree,Female
Q,2.4101937396499,-317.8648750516,0,0,Disagree,Female
Q,-2.0724716373125,-162.36215366114,0,1,Disagree,Male
R,-1.2816803177268,258.11020387155,0,1,Disagree,Male
S,-15.765212254955,36.662651430193,0,0,Disagree,Female
Q,-9.6291453561881,-172.11500986065,0,0,Disagree,Female
Q,-3.8095741829879,-175.89501650301,0,1,Disagree,Male
P,35.330525458479,-2.4664430541297,0,1,Disagree,Male
Q,-6.0580875007706,-75.190534002236,0,0,Disagree,Female
S,-10.917790344412,-160.18752903873,0,0,Disagree,Female
R,-40.874540276767,454.83577006629,0,0,Disagree,Female
P,-4.4461612759373,233.1772825905,0,0,Disagree,Female
R,-11.678125655594,453.94887767823,0,0,Disagree,Female
S,-22.783781370513,-13.494327785212,0,1,Disagree,Male
S,7.8478361665494,-177.51372857369,0,0,Disagree,Female
Q,-5.7815617196176,-36.948344468115,0,1,Disagree,Male
P,14.896338759408,185.25829034404,0,0,Disagree,Female
Q,-6.2828181005469,-343.08190605234,0,0,Disagree,Female
S,10.147919835592,-335.77234351438,0,0,Disagree,Female
P,-18.836320327053,340.69740551324,0,1,Disagree,Male
R,34.888922782563,19.489532889561,0,1,Disagree,Male
Q,-13.951092158887,-173.07840234231,0,1,Disagree,Male
R,-19.631600744385,345.12589052931,0,1,Disagree,Male
S,-12.080988155716,241.3358329252,0,0,Disagree,Female
R,-8.5772996263473,597.13902487659,0,0,Disagree,Female
P,-2.848475533467,562.25440692029,0,0,Disagree,Female
Q,-7.9351013796102,-348.97071746083,0,0,Disagree,Female
R,30.892615973899,101.84651378535,0,1,Disagree,Male
Q,7.1212596926472,31.470207615043,0,1,Disagree,Male
S,-2.2630289878058,-223.40470296396,0,1,Disagree,Male
R,-1.9091559596868,385.41972068298,0,0,Disagree,Female
S,-38.204211468903,71.642345775684,0,0,Disagree,Female
Q,-9.859936466841,-122.97975462954,0,0,Disagree,Female
S,-27.096713469409,79.451171117579,1,0,Agree,Female
Q,-21.534484894264,74.196858469023,0,0,Disagree,Female
S,-19.846479517802,62.350241363212,0,0,Disagree,Female
R,-9.2065873240151,177.03420811567,0,0,Disagree,Female
S,-5.1252443018021,4.2380860020584,0,0,Disagree,Female
R,-31.065058356181,530.71698446233,0,0,Disagree,Female
Q,-10.96607764995,-64.986342491576,1,0,Agree,Female
S,-9.7516846441439,197.20716522504,0,1,Disagree,Male
Q,-25.107500795325,-52.690123502021,0,1,Disagree,Male
Q,5.4410550303017,-252.45680244707,0,0,Disagree,Female
R,-8.8715271008534,607.40564579396,0,0,Disagree,Female
Q,-13.424437237635,-28.936608139396,0,1,Disagree,Male
R,-18.706729058971,489.58757855817,0,0,Disagree,Female
P,5.3498514817794,-7.016425031245,0,1,Disagree,Male
P,6.205194487332,255.09332754654,0,1,Disagree,Male
P,8.2316731341331,31.938626988297,0,0,Disagree,Female
S,6.1054462292723,65.896644433912,1,1,Agree,Male
R,12.919713440314,374.66697299046,0,1,Disagree,Male
R,-18.512258190435,442.36366604472,0,1,Disagree,Male
R,-43.359193436969,831.81083324822,0,1,Disagree,Male
P,13.474128074699,-0.51617745101279,0,1,Disagree,Male
S,-47.882420796846,-158.79058397598,0,0,Disagree,Female
S,-14.788031082967,-27.081188512538,0,0,Disagree,Female
R,-31.335219291195,356.97568217524,0,1,Disagree,Male
S,-12.540737747932,40.566697155389,0,0,Disagree,Female
R,4.6683487955799,232.08947006152,0,1,Disagree,Male
R,10.55699399093,1.4545660370283,0,1,Disagree,Male
Q,-5.5035718490852,-227.38571518864,1,0,Agree,Female
Q,1.2738120841206,84.072917329647,0,1,Disagree,Male
Q,-13.072363726363,-323.02503343766,0,0,Disagree,Female
S,-12.773135599575,-6.0937744472612,1,1,Agree,Male
P,-2.4537056286138,23.110548424586,0,0,Disagree,Female
Q,-1.0174140031531,-93.806467704851,1,0,Agree,Female
Q,-4.9736019302968,-229.5748486922,1,0,Agree,Female
S,-5.0857709246156,28.219396992689,0,0,Disagree,Female
P,-0.08616779562373,358.04944852043,0,0,Disagree,Female
Q,-0.48905856371348,-48.193038966131,0,0,Disagree,Female
S,-22.973199879272,-297.5535984121,0,0,Disagree,Female
P,25.72521938883,-59.308666546973,0,0,Disagree,Female
S,-4.0325797740522,-124.34311765262,0,0,Disagree,Female
Q,-14.015442894779,-357.34293939841,0,1,Disagree,Male
S,-23.245023142661,158.51599436184,0,0,Disagree,Female
Q,2.4072291056659,-234.0924230698,0,0,Disagree,Female
Q,-5.5800638858136,-406.82062184709,0,0,Disagree,Female
P,12.70738747842,114.99935926404,0,1,Disagree,Male
Q,5.8507481226003,-73.484548834378,0,0,Disagree,Female
S,-37.79421120174,201.69767444008,0,1,Disagree,Male
Q,4.09990180335,-180.7214314629,0,1,Disagree,Male
P,0.8167431442145,400.7380044487,0,1,Disagree,Male
P,-6.9505941285522,-40.740567965312,0,0,Disagree,Female
R,22.894648080643,129.32927406269,0,0,Disagree,Female
Q,-18.931294515697,-287.10068907407,0,1,Disagree,Male
S,-27.325560421369,-77.85051532269,0,0,Disagree,Female
P,5.381135755396,131.52922706517,0,0,Disagree,Female
Q,-8.3399349499214,-354.43452041756,0,0,Disagree,Female
R,-18.814898651007,600.36136744933,0,1,Disagree,Male
R,31.878436696193,228.3947770141,0,0,Disagree,Female
P,-6.2061424698709,383.44134231025,0,0,Disagree,Female
R,-17.056502322693,415.74168679479,0,1,Disagree,Male
Q,-1.2838948971051,-462.22672739123,0,0,Disagree,Female
S,-56.602681236622,183.97310340403,0,0,Disagree,Female
R,-25.076827014832,325.83998729654,0,0,Disagree,Female
P,12.099508043425,178.82310986697,0,1,Disagree,Male
S,16.810948948754,16.766359766371,1,1,Agree,Male
P,-26.799476677458,399.46335548277,0,0,Disagree,Female
R,-26.470827562488,669.45375135981,0,1,Disagree,Male
P,-2.1966084610655,199.40695536062,0,1,Disagree,Male
Q,-29.807180783156,-188.50248510367,0,1,Disagree,Male
Q,1.8426908691613,-81.028952570646,1,1,Agree,Male
R,-25.529540897594,560.53238834186,0,0,Disagree,Female
S,-25.642595147548,-35.594093897191,0,0,Disagree,Female
Q,-3.1389739788785,-81.353054014199,0,0,Disagree,Female
P,23.286489726643,-303.80129832719,0,0,Disagree,Female
P,-6.7095973611388,451.09557481766,0,1,Disagree,Male
Q,-1.2466171832041,-160.21437269599,0,1,Disagree,Male
R,-21.619534988245,319.33476491707,0,1,Disagree,Male
R,9.2264683387366,165.24818013573,0,0,Disagree,Female
Q,-14.527710034292,-191.41376664416,0,0,Disagree,Female
P,6.2543839622542,191.35809795761,0,1,Disagree,Male
S,7.122952998673,87.580831095381,0,1,Disagree,Male
S,-25.514026643482,-205.42203150663,0,0,Disagree,Female
R,24.3701903249,85.548072626604,1,1,Agree,Male
P,16.320026600417,145.74316691642,0,1,Disagree,Male
S,-24.523046620899,-167.60609571245,0,0,Disagree,Female
S,-28.692658441929,-126.74939548911,1,1,Agree,Male
P,-0.99021110310695,244.03890653003,0,1,Disagree,Male
Q,2.2732802532955,-255.68458136855,0,0,Disagree,Female
Q,8.2093130448876,-216.85094923985,0,0,Disagree,Female
P,7.4468367753769,175.52748001205,0,0,Disagree,Female
S,-37.173745757515,98.704865484827,0,0,Disagree,Female
S,-29.931336558392,109.75634980842,0,0,Disagree,Female
Q,5.8446771059393,-391.27715696594,1,0,Agree,Female
Q,-15.375156651426,-100.51586163673,0,1,Disagree,Male
S,1.7081691663285,21.779072565855,0,0,Disagree,Female
Q,-19.051387503767,-227.74634936673,0,1,Disagree,Male
R,59.7118516577,-265.30037150127,0,0,Disagree,Female
S,3.7051551559498,-267.2551091282,0,1,Disagree,Male
Q,-11.061627906776,-155.67138822967,0,0,Disagree,Female
Q,-9.9658586066057,-122.59895554818,0,0,Disagree,Female
R,1.0613693474147,418.32718286958,0,1,Disagree,Male
S,-3.0936309113603,-96.556901945061,0,0,Disagree,Female
Q,-1.3001233322081,-221.62397266395,0,0,Disagree,Female
S,-31.69607117432,-130.28640174507,0,0,Disagree,Female
P,-2.3300916554081,341.94909180372,0,1,Disagree,Male
S,-43.303768535752,33.092330179686,1,1,Agree,Male
S,-11.69116947739,-203.93260816854,0,1,Disagree,Male
R,1.5901135460428,170.14392853628,0,1,Disagree,Male
S,-25.871484334521,-178.70546229217,1,1,Agree,Male
R,8.1003016164062,277.85854516824,0,1,Disagree,Male
Q,-5.3165939465708,-34.284146345818,0,0,Disagree,Female
S,-14.606179770365,71.510026585083,1,1,Agree,Male
P,-9.7722666020376,250.71467625243,0,1,Disagree,Male
S,11.925742650836,71.203829889746,1,1,Agree,Male
P,4.6835530282387,268.03926268268,0,0,Disagree,Female
R,24.2213548679,165.54413537194,0,1,Disagree,Male
Q,-5.2976142355695,-160.84369534619,0,0,Disagree,Female
Q,-19.401758386475,6.1426385199384,0,1,Disagree,Male
R,7.3452056731774,160.1421526252,0,1,Disagree,Male
P,24.45567752023,59.553386780691,0,1,Disagree,Male
R,13.123777858039,149.34461320161,0,0,Disagree,Female
S,6.6853707156542,-151.18080717008,1,0,Agree,Female
R,41.179751417683,-114.0900688414,0,1,Disagree,Male
R,-22.843293033467,305.90439181025,0,1,Disagree,Male
Q,-10.718769382089,-135.76734397317,0,1,Disagree,Male
S,-25.024142520979,-164.62267813861,0,1,Disagree,Male
Q,-6.9099425877956,-110.71293411763,0,0,Disagree,Female
P,15.292542022789,76.079826066773,0,1,Disagree,Male
S,-1.2860701192571,-109.58528175279,0,0,Disagree,Female
R,51.48473436408,-101.38610112173,0,0,Disagree,Female
S,-24.71684292225,-96.359185665082,0,0,Disagree,Female
P,20.850944922236,-196.04852430106,0,1,Disagree,Male
Q,0.58439830485005,-159.62763241894,0,1,Disagree,Male
R,-28.318106318506,368.11414823221,0,0,Disagree,Female
S,19.379325742079,-47.216296012148,0,0,Disagree,Female
Q,-0.11913360428025,65.045784500449,0,1,Disagree,Male
P,6.6259926243806,297.59236510498,0,1,Disagree,Male
Q,9.9789782664641,-369.18328092349,0,1,Disagree,Male
S,27.848645047214,-191.12084708974,0,0,Disagree,Female
S,49.889957920597,-139.19043877311,0,0,Disagree,Female
R,10.261428778647,119.30271441457,0,1,Disagree,Male
S,8.2276205528656,-0.31568463813308,1,1,Agree,Male
P,-3.3999213419854,298.80006719558,0,1,Disagree,Male
S,-40.98657992109,-104.02229487245,0,0,Disagree,Female
S,-9.4444015619552,63.910410375293,0,0,Disagree,Female
Q,-11.197700699883,-158.31024576319,1,1,Agree,Male
S,-21.738889101771,-159.19151898715,0,1,Disagree,Male
S,14.270559770181,-144.01860478801,0,0,Disagree,Female
R,-34.224360593233,768.79657309819,0,0,Disagree,Female
S,-21.890537979496,-115.82095763265,1,1,Agree,Male
Q,1.2501054565656,-97.819235328035,0,0,Disagree,Female
Q,-1.4174022401764,-167.60004127705,0,1,Disagree,Male
Q,2.1796661904918,-76.560492932592,1,1,Agree,Male
Q,-6.3169102670238,-350.44506587062,0,0,Disagree,Female
R,3.5520625210144,188.77484704218,0,0,Disagree,Female
R,13.231817600425,124.83938624283,0,1,Disagree,Male
R,-26.200937851891,332.79364603609,0,1,Disagree,Male
Q,6.4910700262948,-232.16303377932,0,0,Disagree,Female
Q,-7.8631483231965,-201.60870914376,0,0,Disagree,Female
Q,-10.713906243776,-233.88584519871,1,0,Agree,Female
S,-8.0198002043272,152.53967981252,1,1,Agree,Male
R,-4.7254386580202,394.65376153712,0,1,Disagree,Male
R,-34.486839653685,461.67801748481,0,0,Disagree,Female
P,-4.8723061312327,402.71869322644,0,1,Disagree,Male
R,-23.257762471334,511.68368547209,0,1,Disagree,Male
R,28.615319992236,137.7930479384,0,0,Disagree,Female
R,-9.1443176763804,459.07522290809,0,1,Disagree,Male
P,9.6095746567517,275.99484891211,0,1,Disagree,Male
Q,-8.024726891436,234.06181668633,0,1,Disagree,Male
R,-2.9224684023869,274.4299928995,0,0,Disagree,Female
P,-5.6061480020202,245.34154865441,0,1,Disagree,Male
P,14.863145362988,78.202547050641,0,1,Disagree,Male
R,-5.1639761580918,504.34065964182,0,1,Disagree,Male
Q,-8.3525001087005,-365.58341032108,0,0,Disagree,Female
R,-3.3072092832565,222.93758737898,0,1,Disagree,Male
P,15.139245285252,255.75620640104,0,1,Disagree,Male
P,0.68085939003195,204.05257988677,0,1,Disagree,Male
P,0.55225108449917,246.29347033859,0,1,Disagree,Male
R,44.911231981549,-21.714597765223,0,0,Disagree,Female
P,18.835749986039,45.533238165329,0,1,Disagree,Male
R,32.683864640856,46.856687248152,0,1,Disagree,Male
P,-13.673151364863,395.98003306006,0,0,Disagree,Female
P,8.2851655600989,57.732636701657,0,1,Disagree,Male
R,-13.158401859067,193.67004922203,0,1,Disagree,Male
Q,-14.943064479131,-136.59309366047,1,0,Agree,Female
P,-0.77446718689728,396.69130802233,0,1,Disagree,Male
R,-20.189061608719,276.25936065999,0,1,Disagree,Male
R,36.867429802133,-104.53985143757,0,0,Disagree,Female
P,-2.8460195166273,258.11907686904,0,1,Disagree,Male
Q,-14.786315272928,19.517956786099,0,0,Disagree,Female
Q,-8.8160012824535,-191.02391790134,0,1,Disagree,Male
P,-8.5600428569876,189.06779401659,0,1,Disagree,Male
Q,-7.0548298619943,-91.694055437434,0,1,Disagree,Male
R,-13.711998163123,195.09202720741,0,0,Disagree,Female
R,15.472656703774,23.943708381589,0,1,Disagree,Male
S,-16.776673061204,56.305132103295,0,0,Disagree,Female
Q,4.0014410908341,-258.32231768282,0,0,Disagree,Female
R,-17.862073681719,565.81739400226,0,0,Disagree,Female
P,7.1909660544204,151.61858555703,0,1,Disagree,Male
P,-16.695315644934,627.16961347599,0,0,Disagree,Female
Q,0.86070104169691,-222.59672829024,0,1,Disagree,Male
Q,12.030916916687,-110.63798579371,0,0,Disagree,Female
P,-0.9753729081598,444.526637038,0,1,Disagree,Male
R,-14.793845558443,356.825367466,0,1,Disagree,Male
R,4.9335303771931,353.2440378709,0,1,Disagree,Male
Q,-3.353076720309,120.0780495494,0,1,Disagree,Male
P,2.0876597422583,-3.6574021348065,0,0,Disagree,Female
P,12.548125799069,-18.131540069883,0,0,Disagree,Female
Q,-6.6798629251681,-257.5718534815,0,1,Disagree,Male
S,-40.457055769608,-55.353479915929,0,0,Disagree,Female
S,-3.3445877411145,95.452034678055,0,1,Disagree,Male
P,-12.661647774122,235.73164903593,0,0,Disagree,Female
S,-14.448037965897,-148.49791437783,0,1,Disagree,Male
R,-33.77282765078,456.21655245042,0,0,Disagree,Female
P,-6.0542880925603,316.6693253171,0,0,Disagree,Female
P,15.965028699005,197.75174932683,0,0,Disagree,Female
P,8.4348515390581,2.2648248808761,0,1,Disagree,Male
R,15.741505451846,468.19468677798,0,1,Disagree,Male
R,27.118035133052,77.032280757573,0,1,Disagree,Male
R,-18.527252046171,270.80479429513,0,0,Disagree,Female
Q,-6.1804716359733,215.43851452248,0,0,Disagree,Female
R,0.80781905344119,303.86172730097,0,0,Disagree,Female
P,9.8097132056997,-145.74897217599,0,0,Disagree,Female
S,-3.5678654408864,-36.91114700628,0,0,Disagree,Female
P,26.156646418924,35.757938856612,0,0,Disagree,Female
S,-29.794087942594,-120.87619636155,0,0,Disagree,Female
S,-14.482345020157,5.2998170448932,1,1,Agree,Male
P,13.963933267614,238.81425656556,0,1,Disagree,Male
P,1.9613216686814,64.546650000637,0,1,Disagree,Male
S,-6.3049752089684,-249.14742149559,0,1,Disagree,Male
P,11.588852186961,-5.991779664062,0,1,Disagree,Male
P,-3.674100391415,446.07134648649,0,0,Disagree,Female
P,1.224474435311,344.44185412929,0,1,Disagree,Male
S,-1.9912293697666,-168.92364575384,0,1,Disagree,Male
R,14.61726530996,68.455753324766,0,1,Disagree,Male
R,-66.964708976431,603.55014009473,0,0,Disagree,Female
P,23.144993658711,150.69246405069,0,0,Disagree,Female
Q,-0.50981015130403,-275.77299787885,0,0,Disagree,Female
R,-32.065666040902,550.93283043193,0,1,Disagree,Male
Q,-3.5188259978401,-204.05976790146,0,1,Disagree,Male
P,28.017475092326,-28.823620031506,0,1,Disagree,Male
S,-8.8420775667029,-135.08578526838,0,0,Disagree,Female
S,-47.315599002091,110.55122348692,0,1,Disagree,Male
P,7.8501163664507,195.88472580113,0,0,Disagree,Female
R,19.530554868528,256.18070494578,0,1,Disagree,Male
S,-23.054690034154,-59.574543733883,1,1,Agree,Male
S,-17.685975770785,101.87430301862,0,1,Disagree,Male
P,16.101800679277,45.022441321063,0,0,Disagree,Female
S,-11.936601685796,140.1480940013,0,1,Disagree,Male
Q,4.4154147242268,19.623436751134,0,1,Disagree,Male
P,35.421235221634,-88.704165627111,0,1,Disagree,Male
R,-39.81657235083,431.72421966667,0,1,Disagree,Male
S,-15.097078755543,73.179875359489,0,0,Disagree,Female
P,4.9154080110208,135.1527723531,0,0,Disagree,Female
R,-4.1072256896213,208.91446876662,0,0,Disagree,Female
S,-4.1031004917357,100.7349818017,0,1,Disagree,Male
S,4.2026086455223,-197.87890582619,0,1,Disagree,Male
R,-28.106928654531,480.16809899275,0,0,Disagree,Female
R,16.740773484921,16.270320706195,0,1,Disagree,Male
Q,-0.84969887363245,-251.01365371608,1,0,Agree,Female
Q,-3.626362494019,-374.8448147922,0,0,Disagree,Female
S,-14.51522506099,-142.39949141927,0,0,Disagree,Female
R,-19.209697145135,242.95424337078,0,0,Disagree,Female
P,-8.1745803329044,487.96319339562,0,1,Disagree,Male
R,-34.597112195379,460.58459845306,0,0,Disagree,Female
R,27.511972442508,-14.894438771016,0,1,Disagree,Male
S,-50.598084869142,113.92932648302,0,1,Disagree,Male
Q,2.0835858602466,-250.38739269571,0,0,Disagree,Female
S,-2.6691889491254,-210.38687461446,0,0,Disagree,Female
P,13.480892648213,-29.038798750396,0,1,Disagree,Male
R,-46.723132897039,472.29335253606,0,0,Disagree,Female
R,49.495240555375,-55.036664897127,0,1,Disagree,Male
P,1.1018800391359,200.48606646968,0,0,Disagree,Female
S,-32.141088951445,105.5165387129,0,1,Disagree,Male
P,-15.825132101693,396.15428554414,0,0,Disagree,Female
R,20.997553648426,73.521388807111,0,0,Disagree,Female
P,7.5018538481099,251.40403454956,1,0,Agree,Female
R,-38.384660147775,155.62638178171,0,0,Disagree,Female
Q,-17.719688330181,2.0116200544926,0,0,Disagree,Female
Q,3.7641168217008,-25.872310975041,0,1,Disagree,Male
P,-2.1117517087198,245.91236298481,0,0,Disagree,Female
P,14.533607957202,83.385341860533,0,1,Disagree,Male
P,5.5390142060532,3.9218252380014,0,0,Disagree,Female
S,-40.76286622964,47.84472272631,1,0,Agree,Female
Q,-4.2676043479087,-53.675092259736,0,0,Disagree,Female
P,30.670610662396,34.885646132699,0,1,Disagree,Male
P,-4.6151819464821,379.50233128131,0,0,Disagree,Female
R,-18.577937163216,265.63383008523,0,1,Disagree,Male
Q,-4.6843079485392,-202.62566806359,0,1,Disagree,Male
P,23.368973317728,248.15904508492,0,0,Disagree,Female
R,76.126212791133,-11.411505762214,0,1,Disagree,Male
R,8.2743799710993,145.48639451782,0,0,Disagree,Female
Q,6.3209193117548,-450.25976492523,0,0,Disagree,Female
S,-6.1985753733658,-198.67008294289,0,1,Disagree,Male
S,-23.397800953778,-54.15595559038,1,1,Agree,Male
Q,10.326809156838,-250.46581902051,0,0,Disagree,Female
Q,7.387463041296,14.020550220749,0,1,Disagree,Male
Q,-5.9234396321343,-323.91664944725,0,1,Disagree,Male
R,-28.982001050367,640.57158762988,0,0,Disagree,Female
R,4.7583500117801,285.79649739144,0,1,Disagree,Male
P,9.9719541747924,17.798122657835,0,1,Disagree,Male
S,-15.540609701788,-30.028849583133,1,1,Agree,Male
P,11.237992391101,-131.56513356909,0,1,Disagree,Male
Q,-3.7914609712509,-61.504315370929,0,1,Disagree,Male
S,-31.922864892484,111.67744034421,0,0,Disagree,Female
Q,21.233494393636,63.203283834366,0,0,Disagree,Female
R,9.7914771348198,248.53297676264,0,0,Disagree,Female
R,-42.436509232706,601.31984479694,0,0,Disagree,Female
S,-32.500866155373,-37.165572675488,0,0,Disagree,Female
Q,-4.055203487191,108.48026074445,0,0,Disagree,Female
P,-5.8085414915385,155.99861566955,0,1,Disagree,Male
S,3.1570221149163,-105.38517979504,1,1,Agree,Male
R,60.818624667739,-40.181756095114,0,0,Disagree,Female
S,-2.3403402037641,-20.03745904846,0,0,Disagree,Female
Q,-30.264832611785,-198.68848278545,1,1,Agree,Male
P,21.9916718821,-231.94712621949,0,0,Disagree,Female
R,-28.975797645736,739.50816660072,0,0,Disagree,Female
P,15.048255815659,-49.949337637494,0,1,Disagree,Male
Q,9.2645614837597,-54.183285303034,0,0,Disagree,Female
S,-2.987661992194,-137.68542933356,0,0,Disagree,Female
Q,-5.5657897314829,-154.36009165522,0,0,Disagree,Female
Q,-13.133363639532,48.334948145475,0,1,Disagree,Male
Q,-19.503538680963,-167.17216279179,0,0,Disagree,Female
Q,0.17321254600455,-427.18031020192,1,0,Agree,Female
P,10.263530250296,176.82077400005,0,1,Disagree,Male
R,59.557793087586,-236.69516647174,0,0,Disagree,Female
S,-19.562820613181,14.639721839055,0,1,Disagree,Male
Q,-1.3441491864362,-33.482627902405,0,1,Disagree,Male
R,-25.930184511901,495.7821603137,0,1,Disagree,Male
R,-36.173655311192,462.15425453622,0,0,Disagree,Female
R,-6.3072506242,369.09617914683,0,1,Disagree,Male
Q,-5.87070312019,-398.34190335932,0,0,Disagree,Female
S,0.5791066529132,-37.284464476297,0,1,Disagree,Male
S,-6.3592979141322,-141.90762802209,1,1,Agree,Male
Q,-26.418024584846,-94.557595822754,0,0,Disagree,Female
Q,7.0006800373088,-303.82632577458,0,1,Disagree,Male
P,0.0045840218684567,268.43031563025,0,1,Disagree,Male
S,-29.813963657624,75.859929818595,0,0,Disagree,Female
P,2.7007045600101,48.929624848035,0,0,Disagree,Female
P,2.1880054390933,-86.224454125028,0,1,Disagree,Male
P,2.4764451279661,323.30397019084,0,1,Disagree,Male
R,10.0699766246,334.50159459491,0,0,Disagree,Female
R,-49.195622798147,540.39927341901,0,0,Disagree,Female
S,0.81758051822781,-232.2398699281,0,0,Disagree,Female
R,-18.934212472259,343.28719812505,0,0,Disagree,Female
R,-21.721826868468,229.27484236996,0,1,Disagree,Male
R,-13.19499899456,345.91834296655,0,1,Disagree,Male
P,30.131664489923,-95.043960372006,0,0,Disagree,Female
Q,-13.891075471365,-61.978086382606,0,1,Disagree,Male
Q,10.803937208747,-227.4860156963,0,1,Disagree,Male
S,-4.0165649689811,60.42677134761,0,0,Disagree,Female
Q,-4.0680743074362,-110.89077225881,0,0,Disagree,Female
P,13.899071581615,-62.832004841339,0,1,Disagree,Male
R,-11.244454604687,290.84180844894,0,0,Disagree,Female
Q,-0.020688012717614,-227.953214318,1,0,Agree,Female
S,6.6890859104176,183.94005147551,1,1,Agree,Male
Q,-1.2181682722728,-347.39930612333,0,1,Disagree,Male
Q,-6.5292931485592,-112.57388740386,1,1,Agree,Male
Q,-9.9716048505956,-230.32700610781,0,0,Disagree,Female
S,14.267932554832,-138.50087906723,0,0,Disagree,Female
S,-41.952151539713,-236.78285362049,0,1,Disagree,Male
P,-2.9818828944032,124.66709502026,0,0,Disagree,Female
S,-41.571836482534,-11.941847174401,0,0,Disagree,Female
S,-32.97701136208,124.8333785277,0,1,Disagree,Male
Q,-1.8382525419995,17.534427805121,0,1,Disagree,Male
Q,-0.83741545529916,-283.01830953547,0,1,Disagree,Male
Q,4.2483188469188,-280.1814664198,0,1,Disagree,Male
P,7.3082363606935,177.31471112571,0,1,Disagree,Male
R,-2.3938296061912,312.08775810436,0,0,Disagree,Female
P,-2.4265039369587,192.3322470986,0,0,Disagree,Female
Q,-3.5490947913141,-90.294446292936,0,0,Disagree,Female
S,-13.74791829416,-191.29815102708,0,0,Disagree,Female
P,16.293545450221,-13.176674292505,0,0,Disagree,Female
R,-4.1440495136865,62.643367089631,0,1,Disagree,Male
R,-27.536954656493,725.181625594,0,1,Disagree,Male
S,-18.905028482389,-131.92179949205,0,0,Disagree,Female
R,-19.411461261293,-38.848178787552,0,0,Disagree,Female
S,16.794275056475,65.709411425381,0,1,Disagree,Male
S,-5.4148195113124,-239.99329321179,1,1,Agree,Male
R,52.663124883391,-88.417560849533,0,1,Disagree,Male
P,9.0417523435511,184.46040183746,0,1,Disagree,Male
